Note,CashIn,CashOut
Chuyển tiền tới Toi La Ai,1200000,0
Rút tiền về thẻ/tài khoản đã liên kết,0,1117000
Nạp tiền vào tài khoản ZaloPay,1045000,0
Cashback regresstion,68,0
description123,0,10000
Health Check System,0,180000
Chuyển tiền tới Nguyễn Thành Thái,0,11000
,0,226000
Automation API,230000,911000
Chuyển tiền tới Toi La Ai,315000,0
Cashback regresstion,42,0
Automation API,550000,1377000
Nạp tiền vào tài khoản ZaloPay,400000,0
test rollout,800000,0
settlement,1667204,1667204
Rút tiền về thẻ/tài khoản đã liên kết,0,301000
Ting ting!! Đã chuyển tiền nhận liền tay!,0,1
Chuyển tiền tới Toi La Ai,300000,0
Rút tiền về thẻ/tài khoản đã liên kết,0,50000
Rút tiền về thẻ/tài khoản đã liên kết,0,100000
Rút tiền về thẻ/tài khoản đã liên kết,0,100000
Nạp tiền vào tài khoản ZaloPay,10000,0
Nạp tiền vào tài khoản ZaloPay,10000,0
Nạp tiền vào tài khoản ZaloPay,10000,0
Nạp tiền vào tài khoản ZaloPay,10000,0
Nạp tiền vào tài khoản ZaloPay,10000,0
Nạp tiền vào tài khoản ZaloPay,10000,0
Nạp tiền vào tài khoản ZaloPay,10000,0
Nạp tiền vào tài khoản ZaloPay,10000,0
Nạp tiền vào tài khoản ZaloPay,10000,0
Cashback regresstion,1,0
description123,0,10000
Cashback regresstion,1,0
Health Check System,0,10000
Cashback regresstion,1,0
Chuyển tiền tới Nguyễn Thành Thái,0,1000
,0,1000
Nạp tiền vào tài khoản ZaloPay,10000,0
Chuyển tiền tới Nguyễn Thành Thái,0,10000
Nạp tiền vào tài khoản ZaloPay,10000,0
,0,10000
,0,1000
Health Check System,0,10000
Cashback regresstion,1,0
Nạp tiền vào tài khoản ZaloPay,10000,0
Nạp tiền vào tài khoản ZaloPay,10000,0
Health Check System,0,10000
Cashback regresstion,1,0
,0,1000
Nạp tiền vào tài khoản ZaloPay,10000,0
,0,10000
Cashback regresstion,1,0
Cashback regresstion,1,0
Nạp tiền vào tài khoản ZaloPay,10000,0
Nạp tiền vào tài khoản ZaloPay,10000,0
Nạp tiền vào tài khoản ZaloPay,150000,0
Rút tiền về thẻ/tài khoản đã liên kết,0,51000
Rút tiền về thẻ/tài khoản đã liên kết,0,51000
Rút tiền về thẻ/tài khoản đã liên kết,0,51000
Rút tiền về thẻ/tài khoản đã liên kết,0,51000
Nạp tiền vào tài khoản ZaloPay,10000,0
Cashback regresstion,1,0
Cashback regresstion,1,0
Cashback regresstion,1,0
Health Check System,0,10000
Cashback regresstion,1,0
,0,1000
Nạp tiền vào tài khoản ZaloPay,10000,0
,0,10000
Nạp tiền vào tài khoản ZaloPay,10000,0
Nạp tiền vào tài khoản ZaloPay,10000,0
Nạp tiền vào tài khoản ZaloPay,10000,0
,0,10000
Rút tiền về thẻ/tài khoản đã liên kết,0,51000
Nạp tiền vào tài khoản ZaloPay,10000,0
,0,10000
Cashback regresstion,1,0
Nạp tiền vào tài khoản ZaloPay,10000,0
Cashback regresstion,1,0
Rút tiền về thẻ/tài khoản đã liên kết,0,51000
Nạp tiền vào tài khoản ZaloPay,10000,0
Nạp tiền vào tài khoản ZaloPay,10000,0
,0,10000
Nạp tiền vào tài khoản ZaloPay,10000,0
Nạp tiền vào tài khoản ZaloPay,10000,0
Nạp tiền vào tài khoản ZaloPay,10000,0
,0,10000
Nạp tiền vào tài khoản ZaloPay,10000,0
Nạp tiền vào tài khoản ZaloPay,10000,0
,0,10000
Cashback regresstion,1,0
Chuyển tiền tới Toi La Ai,300000,0
Health Check System,0,10000
Cashback regresstion,1,0
Nạp tiền vào tài khoản ZaloPay,10000,0
Nạp tiền vào tài khoản ZaloPay,10000,0
,0,10000
Cashback regresstion,1,0
Rút tiền về thẻ/tài khoản đã liên kết,0,51000
Health Check System,0,10000
Cashback regresstion,1,0
Nạp tiền vào tài khoản ZaloPay,10000,0
Nạp tiền vào tài khoản ZaloPay,10000,0
,0,10000
Cashback regresstion,1,0
Rút tiền về thẻ/tài khoản đã liên kết,0,51000
Health Check System,0,10000
Cashback regresstion,1,0
Nạp tiền vào tài khoản ZaloPay,10000,0
Nạp tiền vào tài khoản ZaloPay,10000,0
,0,10000
,0,1000
Rút tiền về thẻ/tài khoản đã liên kết,0,51000
Cashback regresstion,1,0
Health Check System,0,10000
Cashback regresstion,1,0
,0,1000
Rút tiền về thẻ/tài khoản đã liên kết,0,51000
Cashback regresstion,1,0
Health Check System,0,10000
Cashback regresstion,1,0
,0,1000
Rút tiền về thẻ/tài khoản đã liên kết,0,51000
Nạp tiền vào tài khoản ZaloPay,10000,0
,0,10000
Health Check System,0,10000
Cashback regresstion,1,0
Nạp tiền vào tài khoản ZaloPay,10000,0
,0,1000
Rút tiền về thẻ/tài khoản đã liên kết,0,51000
Nạp tiền vào tài khoản ZaloPay,10000,0
,0,10000
Cashback regresstion,1,0
Health Check System,0,10000
Cashback regresstion,1,0
Nạp tiền vào tài khoản ZaloPay,10000,0
,0,1000
Nạp tiền vào tài khoản ZaloPay,10000,0
,0,10000
Nạp tiền vào tài khoản ZaloPay,10000,0
Nạp tiền vào tài khoản ZaloPay,10000,0
Cashback regresstion,1,0
Health Check System,0,10000
Cashback regresstion,1,0
Nạp tiền vào tài khoản ZaloPay,10000,0
,0,1000
Nạp tiền vào tài khoản ZaloPay,10000,0
,0,10000
Nạp tiền vào tài khoản ZaloPay,10000,0
Nạp tiền vào tài khoản ZaloPay,100000,0
Cashback regresstion,1,0
Health Check System,0,10000
Cashback regresstion,1,0
Nạp tiền vào tài khoản ZaloPay,10000,0
,0,1000
Rút tiền về thẻ/tài khoản đã liên kết,0,51000
Nạp tiền vào tài khoản ZaloPay,10000,0
,0,10000
Cashback regresstion,1,0
Health Check System,0,10000
Cashback regresstion,1,0
Nạp tiền vào tài khoản ZaloPay,10000,0
,0,1000
Rút tiền về thẻ/tài khoản đã liên kết,0,51000
Nạp tiền vào tài khoản ZaloPay,10000,0
,0,10000
Cashback regresstion,1,0
Health Check System,0,10000
Cashback regresstion,1,0
Nạp tiền vào tài khoản ZaloPay,10000,0
,0,1000
Nạp tiền vào tài khoản ZaloPay,10000,0
,0,10000
Cashback regresstion,1,0
Health Check System,0,10000
Cashback regresstion,1,0
Nạp tiền vào tài khoản ZaloPay,10000,0
,0,1000
Nạp tiền vào tài khoản ZaloPay,10000,0
,0,10000
Chuyển tiền tới Toi La Ai,50000,0
Rút tiền về thẻ/tài khoản đã liên kết,0,51000
Chuyển tiền tới Toi La Ai,50000,0
Cashback regresstion,1,0
Health Check System,0,10000
Cashback regresstion,1,0
Nạp tiền vào tài khoản ZaloPay,10000,0
,0,1000
Rút tiền về thẻ/tài khoản đã liên kết,0,51000
Nạp tiền vào tài khoản ZaloPay,10000,0
,0,10000
Nạp tiền vào tài khoản ZaloPay,50000,0
Cashback regresstion,1,0
Health Check System,0,10000
Cashback regresstion,1,0
Nạp tiền vào tài khoản ZaloPay,10000,0
,0,1000
Rút tiền về thẻ/tài khoản đã liên kết,0,51000
Nạp tiền vào tài khoản ZaloPay,10000,0
,0,10000
Cashback regresstion,1,0
Automation API,0,1000
Cashback regresstion,1,0
Automation API,0,1000
Automation API,0,1000
Automation API,0,1000
Automation API,0,1000
Nạp tiền vào tài khoản ZaloPay,10000,0
Automation API,0,10000
Automation API,70000,0
Automation API,0,51000
Automation API,70000,0
Automation API,0,51000
Automation API,0,51000
Automation API,10000,0
Automation API,0,1000
Cashback regresstion,1,0
Automation API,0,1000
Cashback regresstion,1,0
Automation API,0,1000
Nạp tiền vào tài khoản ZaloPay,10000,0
Automation API,0,10000
Cashback regresstion,1,0
Cashback regresstion,1,0
Automation API,0,1000
Cashback regresstion,1,0
Automation API,10000,0
Automation API,0,1000
Nạp tiền vào tài khoản ZaloPay,10000,0
Automation API,0,10000
Cashback regresstion,1,0
Automation API,0,1000
Cashback regresstion,1,0
Automation API,10000,0
Automation API,0,1000
Nạp tiền vào tài khoản ZaloPay,10000,0
Automation API,0,10000
Cashback regresstion,1,0
Automation API,0,1000
Cashback regresstion,1,0
Automation API,0,1000
Automation API,0,1000
Cashback regresstion,1,0
Automation API,0,1000
Automation API,0,1000
Cashback regresstion,1,0
Automation API,0,1000
Automation API,0,1000
Cashback regresstion,1,0
Automation API,0,1000
Automation API,0,1000
Cashback regresstion,1,0
Automation API,0,1000
Automation API,0,1000
Cashback regresstion,1,0
Automation API,0,1000
Chuyển tiền tới Toi La Ai,500000,0
Automation API,0,301000
Cashback regresstion,1,0
Automation API,0,1000
Cashback regresstion,1,0
Automation API,10000,0
Automation API,0,1000
Nạp tiền vào tài khoản ZaloPay,10000,0
Automation API,0,10000
Automation API,0,51000
Nạp tiền vào tài khoản ZaloPay,5000,0
Cashback regresstion,1,0
Automation API,0,1000
Cashback regresstion,1,0
Automation API,10000,0
Automation API,0,1000
Nạp tiền vào tài khoản ZaloPay,10000,0
Automation API,0,10000
Automation API,0,51000
Automation API,0,1000
Nạp tiền vào tài khoản ZaloPay,10000,0
Automation API,0,10000
Cashback regresstion,1,0
Automation API,0,1000
Cashback regresstion,1,0
Automation API,10000,0
Nạp tiền vào tài khoản ZaloPay,10000,0
Automation API,0,10000
Automation API,0,1000
Automation API,0,1000
Nạp tiền vào tài khoản ZaloPay,10000,0
Automation API,0,10000
Automation API,0,51000
Automation API,0,1000
Nạp tiền vào tài khoản ZaloPay,10000,0
Automation API,0,10000
Cashback regresstion,1,0
Automation API,0,1000
Cashback regresstion,1,0
Automation API,10000,0
Automation API,0,1000
Nạp tiền vào tài khoản ZaloPay,10000,0
Automation API,0,10000
Automation API,0,1000
Nạp tiền vào tài khoản ZaloPay,10000,0
Automation API,0,10000
Automation API,0,51000
Cashback regresstion,1,0
Automation API,0,1000
Cashback regresstion,1,0
Automation API,10000,0
Automation API,0,1000
Nạp tiền vào tài khoản ZaloPay,10000,0
Automation API,0,10000
Automation API,0,1000
Nạp tiền vào tài khoản ZaloPay,10000,0
Automation API,0,10000
Automation API,0,51000
Cashback regresstion,1,0
Automation API,0,1000
Cashback regresstion,1,0
Automation API,10000,0
Automation API,0,1000
Nạp tiền vào tài khoản ZaloPay,10000,0
Automation API,0,10000
Automation API,0,1000
Nạp tiền vào tài khoản ZaloPay,10000,0
Automation API,0,10000
