Tiền vào (VND),Tiền ra (VND),Chú thích
300000,0,Chuyển tiền tới Toi La Ai
0,50000,Rút tiền về thẻ/tài khoản đã liên kết
0,100000,Rút tiền về thẻ/tài khoản đã liên kết
0,100000,Rút tiền về thẻ/tài khoản đã liên kết
10000,0,Nạp tiền vào tài khoản ZaloPay
10000,0,Nạp tiền vào tài khoản ZaloPay
10000,0,Nạp tiền vào tài khoản ZaloPay
10000,0,Nạp tiền vào tài khoản ZaloPay
10000,0,Nạp tiền vào tài khoản ZaloPay
10000,0,Nạp tiền vào tài khoản ZaloPay
10000,0,Nạp tiền vào tài khoản ZaloPay
10000,0,Nạp tiền vào tài khoản ZaloPay
10000,0,Nạp tiền vào tài khoản ZaloPay
1,0,Cashback regresstion
0,10000,description123
1,0,Cashback regresstion
0,10000,Health Check System
1,0,Cashback regresstion
0,1000,Chuyển tiền tới Nguyễn Thành Thái
0,1000,
10000,0,Nạp tiền vào tài khoản ZaloPay
0,10000,Chuyển tiền tới Nguyễn Thành Thái
10000,0,Nạp tiền vào tài khoản ZaloPay
0,10000,
0,1000,
0,10000,Health Check System
1,0,Cashback regresstion
10000,0,Nạp tiền vào tài khoản ZaloPay
10000,0,Nạp tiền vào tài khoản ZaloPay
0,10000,Health Check System
1,0,Cashback regresstion
0,1000,
10000,0,Nạp tiền vào tài khoản ZaloPay
0,10000,
1,0,Cashback regresstion
1,0,Cashback regresstion
10000,0,Nạp tiền vào tài khoản ZaloPay
10000,0,Nạp tiền vào tài khoản ZaloPay
150000,0,Nạp tiền vào tài khoản ZaloPay
0,51000,Rút tiền về thẻ/tài khoản đã liên kết
0,51000,Rút tiền về thẻ/tài khoản đã liên kết
0,51000,Rút tiền về thẻ/tài khoản đã liên kết
0,51000,Rút tiền về thẻ/tài khoản đã liên kết
10000,0,Nạp tiền vào tài khoản ZaloPay
1,0,Cashback regresstion
1,0,Cashback regresstion
1,0,Cashback regresstion
0,10000,Health Check System
1,0,Cashback regresstion
0,1000,
10000,0,Nạp tiền vào tài khoản ZaloPay
0,10000,
10000,0,Nạp tiền vào tài khoản ZaloPay
10000,0,Nạp tiền vào tài khoản ZaloPay
10000,0,Nạp tiền vào tài khoản ZaloPay
0,10000,
0,51000,Rút tiền về thẻ/tài khoản đã liên kết
10000,0,Nạp tiền vào tài khoản ZaloPay
0,10000,
1,0,Cashback regresstion
10000,0,Nạp tiền vào tài khoản ZaloPay
1,0,Cashback regresstion
0,51000,Rút tiền về thẻ/tài khoản đã liên kết
10000,0,Nạp tiền vào tài khoản ZaloPay
10000,0,Nạp tiền vào tài khoản ZaloPay
0,10000,
10000,0,Nạp tiền vào tài khoản ZaloPay
10000,0,Nạp tiền vào tài khoản ZaloPay
10000,0,Nạp tiền vào tài khoản ZaloPay
0,10000,
10000,0,Nạp tiền vào tài khoản ZaloPay
10000,0,Nạp tiền vào tài khoản ZaloPay
0,10000,
1,0,Cashback regresstion
300000,0,Chuyển tiền tới Toi La Ai
0,10000,Health Check System
1,0,Cashback regresstion
10000,0,Nạp tiền vào tài khoản ZaloPay
10000,0,Nạp tiền vào tài khoản ZaloPay
0,10000,
1,0,Cashback regresstion
0,51000,Rút tiền về thẻ/tài khoản đã liên kết
0,10000,Health Check System
1,0,Cashback regresstion
10000,0,Nạp tiền vào tài khoản ZaloPay
10000,0,Nạp tiền vào tài khoản ZaloPay
0,10000,
1,0,Cashback regresstion
0,51000,Rút tiền về thẻ/tài khoản đã liên kết
0,10000,Health Check System
1,0,Cashback regresstion
10000,0,Nạp tiền vào tài khoản ZaloPay
10000,0,Nạp tiền vào tài khoản ZaloPay
0,10000,
0,1000,
0,51000,Rút tiền về thẻ/tài khoản đã liên kết
1,0,Cashback regresstion
0,10000,Health Check System
1,0,Cashback regresstion
0,1000,
0,51000,Rút tiền về thẻ/tài khoản đã liên kết
1,0,Cashback regresstion
0,10000,Health Check System
1,0,Cashback regresstion
0,1000,
0,51000,Rút tiền về thẻ/tài khoản đã liên kết
10000,0,Nạp tiền vào tài khoản ZaloPay
0,10000,
0,10000,Health Check System
1,0,Cashback regresstion
10000,0,Nạp tiền vào tài khoản ZaloPay
0,1000,
0,51000,Rút tiền về thẻ/tài khoản đã liên kết
10000,0,Nạp tiền vào tài khoản ZaloPay
0,10000,
1,0,Cashback regresstion
0,10000,Health Check System
1,0,Cashback regresstion
10000,0,Nạp tiền vào tài khoản ZaloPay
0,1000,
10000,0,Nạp tiền vào tài khoản ZaloPay
0,10000,
10000,0,Nạp tiền vào tài khoản ZaloPay
10000,0,Nạp tiền vào tài khoản ZaloPay
1,0,Cashback regresstion
0,10000,Health Check System
1,0,Cashback regresstion
10000,0,Nạp tiền vào tài khoản ZaloPay
0,1000,
10000,0,Nạp tiền vào tài khoản ZaloPay
0,10000,
10000,0,Nạp tiền vào tài khoản ZaloPay
100000,0,Nạp tiền vào tài khoản ZaloPay
1,0,Cashback regresstion
0,10000,Health Check System
1,0,Cashback regresstion
10000,0,Nạp tiền vào tài khoản ZaloPay
0,1000,
0,51000,Rút tiền về thẻ/tài khoản đã liên kết
10000,0,Nạp tiền vào tài khoản ZaloPay
0,10000,
1,0,Cashback regresstion
0,10000,Health Check System
1,0,Cashback regresstion
10000,0,Nạp tiền vào tài khoản ZaloPay
0,1000,
0,51000,Rút tiền về thẻ/tài khoản đã liên kết
10000,0,Nạp tiền vào tài khoản ZaloPay
0,10000,
1,0,Cashback regresstion
0,10000,Health Check System
1,0,Cashback regresstion
10000,0,Nạp tiền vào tài khoản ZaloPay
0,1000,
10000,0,Nạp tiền vào tài khoản ZaloPay
0,10000,
1,0,Cashback regresstion
0,10000,Health Check System
1,0,Cashback regresstion
10000,0,Nạp tiền vào tài khoản ZaloPay
0,1000,
10000,0,Nạp tiền vào tài khoản ZaloPay
0,10000,
50000,0,Chuyển tiền tới Toi La Ai
0,51000,Rút tiền về thẻ/tài khoản đã liên kết
50000,0,Chuyển tiền tới Toi La Ai
1,0,Cashback regresstion
0,10000,Health Check System
1,0,Cashback regresstion
10000,0,Nạp tiền vào tài khoản ZaloPay
0,1000,
0,51000,Rút tiền về thẻ/tài khoản đã liên kết
10000,0,Nạp tiền vào tài khoản ZaloPay
0,10000,
50000,0,Nạp tiền vào tài khoản ZaloPay
1,0,Cashback regresstion
0,10000,Health Check System
1,0,Cashback regresstion
10000,0,Nạp tiền vào tài khoản ZaloPay
0,1000,
0,51000,Rút tiền về thẻ/tài khoản đã liên kết
10000,0,Nạp tiền vào tài khoản ZaloPay
0,10000,
1,0,Cashback regresstion
0,1000,Automation API
1,0,Cashback regresstion
0,1000,Automation API
0,1000,Automation API
0,1000,Automation API
0,1000,Automation API
10000,0,Nạp tiền vào tài khoản ZaloPay
0,10000,Automation API
70000,0,Automation API
0,51000,Automation API
70000,0,Automation API
0,51000,Automation API
0,51000,Automation API
10000,0,Automation API
0,1000,Automation API
1,0,Cashback regresstion
0,1000,Automation API
1,0,Cashback regresstion
0,1000,Automation API
10000,0,Nạp tiền vào tài khoản ZaloPay
0,10000,Automation API
1,0,Cashback regresstion
1,0,Cashback regresstion
0,1000,Automation API
1,0,Cashback regresstion
10000,0,Automation API
0,1000,Automation API
10000,0,Nạp tiền vào tài khoản ZaloPay
0,10000,Automation API
1,0,Cashback regresstion
0,1000,Automation API
1,0,Cashback regresstion
10000,0,Automation API
0,1000,Automation API
10000,0,Nạp tiền vào tài khoản ZaloPay
0,10000,Automation API
1,0,Cashback regresstion
0,1000,Automation API
1,0,Cashback regresstion
0,1000,Automation API
0,1000,Automation API
1,0,Cashback regresstion
0,1000,Automation API
0,1000,Automation API
1,0,Cashback regresstion
0,1000,Automation API
0,1000,Automation API
1,0,Cashback regresstion
0,1000,Automation API
0,1000,Automation API
1,0,Cashback regresstion
0,1000,Automation API
0,1000,Automation API
1,0,Cashback regresstion
0,1000,Automation API
500000,0,Chuyển tiền tới Toi La Ai
0,301000,Automation API
1,0,Cashback regresstion
0,1000,Automation API
1,0,Cashback regresstion
10000,0,Automation API
0,1000,Automation API
10000,0,Nạp tiền vào tài khoản ZaloPay
0,10000,Automation API
0,51000,Automation API
5000,0,Nạp tiền vào tài khoản ZaloPay
1,0,Cashback regresstion
0,1000,Automation API
1,0,Cashback regresstion
10000,0,Automation API
0,1000,Automation API
10000,0,Nạp tiền vào tài khoản ZaloPay
0,10000,Automation API
0,51000,Automation API
0,1000,Automation API
10000,0,Nạp tiền vào tài khoản ZaloPay
0,10000,Automation API
1,0,Cashback regresstion
0,1000,Automation API
1,0,Cashback regresstion
10000,0,Automation API
10000,0,Nạp tiền vào tài khoản ZaloPay
0,10000,Automation API
0,1000,Automation API
0,1000,Automation API
10000,0,Nạp tiền vào tài khoản ZaloPay
0,10000,Automation API
0,51000,Automation API
0,1000,Automation API
10000,0,Nạp tiền vào tài khoản ZaloPay
0,10000,Automation API
1,0,Cashback regresstion
0,1000,Automation API
1,0,Cashback regresstion
10000,0,Automation API
0,1000,Automation API
10000,0,Nạp tiền vào tài khoản ZaloPay
0,10000,Automation API
0,1000,Automation API
10000,0,Nạp tiền vào tài khoản ZaloPay
0,10000,Automation API
0,51000,Automation API
1,0,Cashback regresstion
0,1000,Automation API
1,0,Cashback regresstion
10000,0,Automation API
0,1000,Automation API
10000,0,Nạp tiền vào tài khoản ZaloPay
0,10000,Automation API
0,1000,Automation API
10000,0,Nạp tiền vào tài khoản ZaloPay
0,10000,Automation API
0,51000,Automation API
1,0,Cashback regresstion
0,1000,Automation API
1,0,Cashback regresstion
10000,0,Automation API
0,1000,Automation API
10000,0,Nạp tiền vào tài khoản ZaloPay
0,10000,Automation API
0,1000,Automation API
10000,0,Nạp tiền vào tài khoản ZaloPay
0,10000,Automation API
